CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,Segment
12346.0,126,1,77183.6,1,1,4,Hibernating
12347.0,47,3,1823.43,2,3,4,Loyal Customers
12348.0,49,3,1487.24,2,3,4,Loyal Customers
12350.0,110,1,334.4,1,1,2,Hibernating
12352.0,62,5,1561.81,2,4,4,Loyal Customers
12353.0,4,1,89.0,4,1,1,Potential Loyalists
12354.0,32,1,1079.4,3,1,4,Potential Loyalists
12355.0,14,1,459.4,4,1,2,Potential Loyalists
12356.0,45,2,2753.08,3,3,4,Loyal Customers
12359.0,105,2,2386.41,1,3,4,Loyal Customers
12360.0,1,1,1083.58,4,1,4,Potential Loyalists
12361.0,87,1,189.9,2,1,1,At Risk
12362.0,26,2,974.34,3,3,3,Loyal Customers
12363.0,42,1,299.1,3,1,2,Potential Loyalists
12365.0,91,2,641.38,2,3,3,Loyal Customers
12370.0,74,3,2806.41,2,3,4,Loyal Customers
12372.0,13,2,914.9200000000001,4,3,3,Champions
12373.0,111,1,364.6,1,1,2,Hibernating
12377.0,115,2,1628.12,1,3,4,Loyal Customers
12383.0,38,4,1751.11,3,4,4,Loyal Customers
12386.0,137,2,401.9,1,3,2,Hibernating
12388.0,75,3,766.25,2,3,3,Loyal Customers
12393.0,46,3,1061.1000000000001,3,3,4,Loyal Customers
12394.0,17,1,381.08,3,1,2,Potential Loyalists
12395.0,12,6,1569.72,4,4,4,Champions
12399.0,14,2,768.95,4,3,3,Champions
12401.0,103,1,84.3,1,1,1,Hibernating
12402.0,123,1,225.6,1,1,1,Hibernating
12407.0,35,2,495.96,3,3,3,Loyal Customers
12408.0,60,2,837.59,2,3,3,Loyal Customers
12410.0,109,2,693.3299999999999,1,3,3,Loyal Customers
12413.0,36,2,563.9,3,3,3,Loyal Customers
12414.0,17,3,562.41,3,3,3,Loyal Customers
12415.0,3,7,50883.9,4,4,4,Champions
12417.0,25,4,1461.08,3,4,4,Loyal Customers
12421.0,119,1,157.45,1,1,1,Hibernating
12422.0,125,1,238.5,1,1,1,Hibernating
12423.0,1,5,1358.27,4,4,4,Champions
12427.0,172,1,303.5,1,1,2,Hibernating
12428.0,43,6,6310.54,3,4,4,Loyal Customers
12429.0,27,2,1719.48,3,3,4,Loyal Customers
12431.0,1,7,3158.53,4,4,4,Champions
12433.0,166,2,3787.12,1,3,4,Loyal Customers
12434.0,60,1,286.25,2,1,2,At Risk
12435.0,68,1,3978.9900000000002,2,1,4,At Risk
12437.0,6,7,1707.97,4,4,4,Champions
12441.0,167,1,173.55,1,1,1,Hibernating
12447.0,43,1,476.49,3,1,3,Potential Loyalists
12451.0,18,2,5307.82,3,3,4,Loyal Customers
12455.0,95,2,1698.9,1,3,4,Loyal Customers
12456.0,55,1,940.1700000000001,2,1,3,At Risk
12457.0,34,3,1067.25,3,3,4,Loyal Customers
12458.0,84,1,441.92,2,1,2,At Risk
12462.0,103,1,762.11,1,1,3,Hibernating
12463.0,7,2,647.95,4,3,3,Champions
12464.0,84,2,363.84999999999997,2,3,2,At Risk
12468.0,116,1,220.59,1,1,1,Hibernating
12471.0,11,13,8397.32,4,4,4,Champions
12472.0,67,3,3048.84,2,3,4,Loyal Customers
12474.0,6,7,2711.33,4,4,4,Champions
12476.0,18,5,2445.1,3,4,4,Loyal Customers
12477.0,39,2,4576.97,3,3,4,Loyal Customers
12480.0,67,2,1587.27,2,3,4,Loyal Customers
12481.0,5,7,3100.55,4,4,4,Champions
12483.0,5,4,994.6600000000001,4,4,3,Champions
12484.0,136,1,1138.67,1,1,4,Hibernating
12489.0,136,1,334.93,1,1,2,Hibernating
12490.0,15,2,1195.72,4,3,4,Champions
